"시도별","시점","주요 업종별","항목",데이터
"서울특별시","2018","체인화 편의점","사업체수 (개)",8102
"서울특별시","2018","체인화 편의점","종사자수 (명)",39594
"서울특별시","2018","체인화 편의점","매출액 (백만원)",4655165
"서울특별시","2018","체인화 편의점","영업비용 (백만원)",4519097
"서울특별시","2018","체인화 편의점","인건비 (백만원)",373310
"서울특별시","2018","체인화 편의점","임차료 (백만원)",196036
"서울특별시","2018","체인화 편의점","기타영업비용 (백만원)",3949751
"서울특별시","2018","체인화 편의점","연간급여액 (백만원)",311093
"서울특별시","2018","문구용품 및 회화용품 소매업","사업체수 (개)",359
"서울특별시","2018","문구용품 및 회화용품 소매업","종사자수 (명)",1017
"서울특별시","2018","문구용품 및 회화용품 소매업","매출액 (백만원)",162145
"서울특별시","2018","문구용품 및 회화용품 소매업","영업비용 (백만원)",144894
"서울특별시","2018","문구용품 및 회화용품 소매업","인건비 (백만원)",13808
"서울특별시","2018","문구용품 및 회화용품 소매업","임차료 (백만원)",14938
"서울특별시","2018","문구용품 및 회화용품 소매업","기타영업비용 (백만원)",116148
"서울특별시","2018","문구용품 및 회화용품 소매업","연간급여액 (백만원)",11892
"서울특별시","2018","의약품 및 의료용품 소매업","사업체수 (개)",1009
"서울특별시","2018","의약품 및 의료용품 소매업","종사자수 (명)",3093
"서울특별시","2018","의약품 및 의료용품 소매업","매출액 (백만원)",946185
"서울특별시","2018","의약품 및 의료용품 소매업","영업비용 (백만원)",866123
"서울특별시","2018","의약품 및 의료용품 소매업","인건비 (백만원)",63601
"서울특별시","2018","의약품 및 의료용품 소매업","임차료 (백만원)",35897
"서울특별시","2018","의약품 및 의료용품 소매업","기타영업비용 (백만원)",766625
"서울특별시","2018","의약품 및 의료용품 소매업","연간급여액 (백만원)",55044
"서울특별시","2018","안경 및 렌즈 소매업","사업체수 (개)",612
"서울특별시","2018","안경 및 렌즈 소매업","종사자수 (명)",1763
"서울특별시","2018","안경 및 렌즈 소매업","매출액 (백만원)",213345
"서울특별시","2018","안경 및 렌즈 소매업","영업비용 (백만원)",188773
"서울특별시","2018","안경 및 렌즈 소매업","인건비 (백만원)",30757
"서울특별시","2018","안경 및 렌즈 소매업","임차료 (백만원)",32129
"서울특별시","2018","안경 및 렌즈 소매업","기타영업비용 (백만원)",125887
"서울특별시","2018","안경 및 렌즈 소매업","연간급여액 (백만원)",28842
"서울특별시","2018","한식 음식점업","사업체수 (개)",5658
"서울특별시","2018","한식 음식점업","종사자수 (명)",26697
"서울특별시","2018","한식 음식점업","매출액 (백만원)",2067416
"서울특별시","2018","한식 음식점업","영업비용 (백만원)",1903061
"서울특별시","2018","한식 음식점업","인건비 (백만원)",380436
"서울특별시","2018","한식 음식점업","임차료 (백만원)",245753
"서울특별시","2018","한식 음식점업","기타영업비용 (백만원)",1276872
"서울특별시","2018","한식 음식점업","연간급여액 (백만원)",366920
"서울특별시","2018","외국식 음식점업","사업체수 (개)",1824
"서울특별시","2018","외국식 음식점업","종사자수 (명)",10016
"서울특별시","2018","외국식 음식점업","매출액 (백만원)",717691
"서울특별시","2018","외국식 음식점업","영업비용 (백만원)",637652
"서울특별시","2018","외국식 음식점업","인건비 (백만원)",153807
"서울특별시","2018","외국식 음식점업","임차료 (백만원)",85654
"서울특별시","2018","외국식 음식점업","기타영업비용 (백만원)",398191
"서울특별시","2018","외국식 음식점업","연간급여액 (백만원)",147455
"서울특별시","2018","제과점업","사업체수 (개)",1511
"서울특별시","2018","제과점업","종사자수 (명)",8283
"서울특별시","2018","제과점업","매출액 (백만원)",702709
"서울특별시","2018","제과점업","영업비용 (백만원)",664975
"서울특별시","2018","제과점업","인건비 (백만원)",81928
"서울특별시","2018","제과점업","임차료 (백만원)",70127
"서울특별시","2018","제과점업","기타영업비용 (백만원)",512920
"서울특별시","2018","제과점업","연간급여액 (백만원)",76340
"서울특별시","2018","피자, 햄버거, 샌드위치 및 유사 음식점업","사업체수 (개)",1915
"서울특별시","2018","피자, 햄버거, 샌드위치 및 유사 음식점업","종사자수 (명)",10099
"서울특별시","2018","피자, 햄버거, 샌드위치 및 유사 음식점업","매출액 (백만원)",610047
"서울특별시","2018","피자, 햄버거, 샌드위치 및 유사 음식점업","영업비용 (백만원)",557250
"서울특별시","2018","피자, 햄버거, 샌드위치 및 유사 음식점업","인건비 (백만원)",110019
"서울특별시","2018","피자, 햄버거, 샌드위치 및 유사 음식점업","임차료 (백만원)",58369
"서울특별시","2018","피자, 햄버거, 샌드위치 및 유사 음식점업","기타영업비용 (백만원)",388862
"서울특별시","2018","피자, 햄버거, 샌드위치 및 유사 음식점업","연간급여액 (백만원)",104684
"서울특별시","2018","치킨전문점","사업체수 (개)",3690
"서울특별시","2018","치킨전문점","종사자수 (명)",11373
"서울특별시","2018","치킨전문점","매출액 (백만원)",836252
"서울특별시","2018","치킨전문점","영업비용 (백만원)",736870
"서울특별시","2018","치킨전문점","인건비 (백만원)",95466
"서울특별시","2018","치킨전문점","임차료 (백만원)",77743
"서울특별시","2018","치킨전문점","기타영업비용 (백만원)",563661
"서울특별시","2018","치킨전문점","연간급여액 (백만원)",88783
"서울특별시","2018","김밥, 기타 간이음식점 및 포장 판매점","사업체수 (개)",2444
